MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,FEED_HOLD,0,TRUE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_ALARM,TRUE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_STOP!!,FALSE,ajuste_de_programa,2,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,READY,0,TRUE,maquina_en_espera_lista,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,INTERRUPTED,0,TRUE,maquina_detenida,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,0,TRUE,trabajando,1,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_1_CYCLE_STOP,TRUE,ciclo_terminado,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_COVER_OPEN),TRUE,trabajando,1,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_ALARM,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,INTERRUPTED,_STOP!!,FALSE,maquina_detenida_en_ciclo,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_STAND_0_DEG.),FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,STOPPED,MAGAZINE_MANUAL_INTERRUPT,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,STOPPED,NOT_AUTO_MODE(MAG._MANUAL_OPER),FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,MAGAZINE_MANUAL_INTERRUPT,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,ACTIVE,4_AXIS_ORIGIN_RETURN_UNFINISH,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,STOPPED,_CHANGE_ALARM,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,STOPPED,_Z_ZERO_POSI.),FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,STOPPED,_ARM_POSITION_MALF.,FALSE,ARM_POSITION_MALF,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,ACTIVE,_STOP!!,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,STOPPED,MAGAZINE_DOOR_OPENED,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,UNAVAILABLE,UNAVAILABLE,0,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,ACTIVE,_1_CYCLE_STOP,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,READY,_STOP!!,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,READY,_TAKE_OUT_MISS_OP.,FALSE,indefinido,3,-10
